Person,Gender,Heardofcondition,Set,@1st,@2nd,@3rd,@4th,Combination,VideoAGenUnderstandingCONDITION,VideoBdoctorUnderstandingCONDITION,VideoCOldUnderstandingCONDITION,DEMOUnderstandingCONDITION,TotalAGen,TotalBdoc,TotalCOld,TotalDDEMO
1,1,1,1,4,1,3,2,4132,5,5,3,5,25,23,13,22
2,2,1,1,4,1,3,2,4132,5,5,5,5,23,23,20,22
3,2,2,1,4,1,3,2,4132,4,4,2,5,20,17,14,23
4,2,0,1,4,1,3,2,4132,5,5,5,5,24,24,23,25
5,2,2,1,4,1,3,2,4132,5,5,4,5,25,22,18,23
6,2,1,11,1,3,4,2,1342,5,4,5,5,24,22,23,25
7,2,1,11,1,3,4,2,1342,5,4,2,5,25,22,9,21
8,1,1,11,1,3,4,2,1342,4,4,2,5,24,23,6,21
9,2,0,11,1,3,4,2,1342,5,4,3,5,25,21,11,23
10,2,0,11,1,3,4,2,1342,5,5,1,5,24,23,5,25
11,1,0,24,3,1,2,4,3124,5,5,4,5,24,23,15,21
12,2,0,24,3,1,2,4,3124,4,5,3,5,22,24,14,19
13,1,0,24,3,1,2,4,3124,4,3,4,4,24,23,14,19
14,2,0,24,3,1,2,4,3124,5,5,5,5,25,25,17,18
15,2,0,24,3,1,2,4,3124,4,4,4,4,24,22,14,17
16,1,2,10,2,4,3,1,2431,5,5,3,5,25,23,13,20
17,1,2,10,2,4,3,1,2431,5,5,3,5,25,22,16,21
18,2,1,10,2,4,3,1,2431,5,4,2,5,25,21,11,22
19,2,1,10,2,4,3,1,2431,5,5,2,5,25,23,19,25
20,1,1,10,2,4,3,1,2431,5,5,4,5,24,23,18,25
